COURSE,E25_LEARNING,E25_MOTIVATION,E25_FEEDBACK,E25_WORKLOAD
10402,,,,
10405,"[0, 0, 0, 6, 13]","[1, 2, 1, 5, 10]","[1, 3, 5, 5, 4]","[2, 3, 11, 3, 0]"
10411,,,,
10413,,,,
10414,,,,
10420,,,,
10467,,,,
10501,,,,
10502,,,,
10506,,,,
10507,,,,
10508,,,,
10509,,,,
10510,,,,
10511,,,,
10512,,,,
10514,,,,
10515,,,,
10519,"[0, 0, 0, 0, 2]","[0, 0, 0, 2, 0]","[0, 0, 0, 1, 1]","[0, 0, 1, 1, 0]"
10520,,,,
10521,,,,
10530,,,,
10540,,,,
10550,,,,
10590,"[0, 0, 0, 2, 7]","[0, 0, 0, 0, 9]","[0, 0, 3, 2, 4]","[0, 1, 5, 2, 1]"
10603,,,,
10605,"[0, 0, 2, 5, 1]","[0, 0, 2, 4, 2]","[0, 0, 0, 1, 7]","[0, 1, 6, 1, 0]"
10610,"[0, 0, 1, 4, 2]","[0, 0, 3, 3, 1]","[0, 1, 1, 2, 3]","[0, 0, 5, 2, 0]"
10710,,,,
10720,,,,
10721,,,,
10722,,,,
10730,,,,
10731,,,,
10732,,,,
10750,"[5, 7, 6, 12, 2]","[2, 5, 7, 12, 5]","[1, 5, 8, 10, 7]","[7, 18, 4, 0, 2]"
10800,,,,
10810,,,,
10811,,,,
10812,,,,
10814,,,,
10816,,,,
10850,,,,
10851,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 1, 0]","[0, 0, 1, 0, 0]"
10852,,,,
10853,,,,
10855,"[0, 0, 0, 3, 6]","[0, 0, 0, 6, 3]","[0, 0, 0, 5, 4]","[0, 0, 2, 4, 2]"
10856,,,,
10859,,,,
10862,,,,
10863,"[0, 0, 0, 1, 3]","[0, 0, 0, 1, 3]","[0, 0, 0, 1, 3]","[0, 0, 2, 2, 0]"
10864,,,,
10867,,,,
10868,,,,
10870,"[0, 1, 1, 9, 6]","[0, 2, 1, 4, 10]","[1, 1, 4, 4, 7]","[1, 4, 10, 2, 0]"
10871,,,,
10900,,,,
10910,,,,
10914,,,,
10916,"[1, 1, 9, 11, 7]","[1, 3, 11, 7, 7]","[1, 7, 4, 12, 5]","[2, 5, 10, 10, 2]"
10917,,,,
10924,,,,
10931,,,,
10933,,,,
10935,"[0, 5, 22, 14, 4]","[5, 11, 15, 12, 2]","[3, 10, 15, 11, 5]","[3, 8, 18, 9, 6]"
11000,,,,
11004,,,,
11006,,,,
11007,,,,
11010,,,,
11020,,,,
11022,,,,
11023,,,,
11031,,,,
11034,,,,
11035,,,,
11050,,,,
11066,,,,
11067,,,,
11080,,,,
11108,,,,
11110,,,,
11112,,,,
11115,,,,
11116,,,,
11117,,,,
11118,,,,
11119,,,,
11120,,,,
11121,,,,
11122,,,,
11123,,,,
11124,,,,
11126,,,,
11127,,,,
11128,,,,
11129,,,,
11130,,,,
11140,,,,
11141,,,,
11142,,,,
11202,,,,
11203,,,,
11221,,,,
11222,,,,
11300,,,,
11305,,,,
11308,,,,
11309,,,,
11311,,,,
11312,,,,
11313,,,,
11318,,,,
11319,,,,
11320,,,,
11330,,,,
11331,,,,
11332,,,,
11337,,,,
11341,,,,
11342,,,,
11343,,,,
11345,,,,
11346,,,,
11347,,,,
11351,,,,
11352,,,,
11353,,,,
11365,,,,
11374,,,,
11375,,,,
11376,,,,
11404,,,,
11411,,,,
11412,,,,
11418,,,,
11420,,,,
11427,,,,
11428,,,,
11430,,,,
11440,,,,
11441,,,,
11442,,,,
11443,,,,
11444,,,,
11450,,,,
11451,,,,
11452,,,,
11462,,,,
11463,,,,
11464,,,,
11465,,,,
11466,,,,
11467,,,,
11521,,,,
11522,,,,
11524,,,,
11525,,,,
11526,,,,
11561,,,,
11562,,,,
11563,,,,
11567,,,,
11569,,,,
11615,,,,
11617,,,,
11618,,,,
11619,,,,
11620,,,,
11621,,,,
11625,,,,
11626,,,,
11627,,,,
11628,,,,
11629,,,,
11631,,,,
11691,,,,
11701,,,,
